Title;Series Title;Author;ISBN;Level;Source of Level;Lexile Measure;Source of Lexile
*Fox series (Fox and His Friends - first book);Fox;Marshall, Edward;9780140370072;J;Fountas and Pinnell;;
*Buster and the Giant Pumpkin;Postcards from Buster;Brown, Marc;9780316001113;J;Fountas and Pinnell;;
*Buster Hunts for Dinosaurs;Postcards from Buster;Brown, Marc;97803116001274;J;Fountas and Pinnell;;
*Where the Wild Things Are;Scholastic;Sendak, Maurice;9780064431781;J;Fountas and Pinnell;;
Zelda and Ivy Series;Zelda and Ivy;Kvasnosky, Laura McGee;9780763632618 (Book One) ;J;Scholastic;;
*Space Race;;Cowley, Joy;97807802454008;J;Fountas and Pinnell;;
*The Dumb Bunnies;;Pilkey, Dav;9780439669443;J;Fountas and Pinnell;;
The Littles Series;The Littles;Peterson, John;9780590462259 (Book One) ;J, K, L;Scholastic;;
*The Teacher from the Black Lagoon;Black Lagoon;Thaler, Mark;9780545065221;K;Fountas and Pinnell;;
*Commander Toad in Space;Commander Toad;Yolen, Jane;9780698113558;K;Fountas and Pinnell;;
Houndsley and Catina Series;Houndsley and Catina;Howe, James;9780763632939 (Book One);K;Scholastic;;
*Bony-Legs;;Cole, Joanna;9780590332224;K;Fountas and Pinnell;;
*Monster Movie;;Cole, Joanna;9780590402064;K;Fountas and Pinnell;;
*The Leaf Men and the Brave Good Bugs;;Joyce, William;9780064438179;K;Scholastic;;
The Paper Bag Princess;;Munsch, Robert;9780920236161;K;Scholastic;;
Minnie and Moo Series;Minnie and Moo;Cazet, Denys;9780789425379 (Book One);K, L, M;Scholastic;;
*Vampire Trouble;Bailey City Monsters;"Dadey, Debbie; Jones, Marcia Thornton";9780590108461;L;Fountas and Pinnell;;
Marco? Polo!;Time Warp Trio;Scieszka, Jon;9780142411773;L;Scholastic;;
Werewolf Club Series;Werewolf Club;Pinkwater, Daniel Manus;9780689837906 (Book One);L;Scholastic;;
*The Dragons of Blueland;;Gannett, Ruth Stiles;9780394890500;L;Fountas and Pinnell;;
*The Dragons Of Blueland;;Gannett, Ruth Stiles;9780394890500;L;Fountas and Pinnell;;
*When the Giants Came to Town;;Leonard, Marcia;9780590468923;L;Fountas and Pinnell;;
Dogzilla;;Pilkey, Dav;9780152049492;L;Scholastic;;
Loretta and the Little Fairy;;Scheidl, Gerda Marie;9781558583535;L;Scholastic;;
Pish and Posh;;Bottner, Barbara;9780060514167;L;Scholastic;;
The Magic Hat;;Fox, Mem;9780152010256;L;Scholastic;;
The Wretched Stone;;Van Allsburg, Chris;9780395533079 (Hardcover);L;Scholastic;;
Anyone But Me;Katie Kazoo, Switcheroo;Krulik, Nancy;9780448426532;M;Scholastic;;
*Afternoon on the Amazon;Magic Tree House;Osborne, Mary Pope;9780679863724;M;Fountas and Pinnell;;
*Buffalo Before Breakfast;Magic Tree House;Osborne, Mary Pope;9780679890645;M;Fountas and Pinnell;;
*Civil War on Sunday;Magic Tree House;Osborne, Mary Pope;9780679890676;M;Fountas and Pinnell;;
*Day of the Dragon King;Magic Tree House;Osborne, Mary Pope;9780679890515;M;Fountas and Pinnell;;
*Dingoes at Dinnertime;Magic Tree House;Osborne, Mary Pope;9780679890669;M;Fountas and Pinnell;;
*Dingoes at Dinnertime;Magic Tree House;Osborne, Mary Pope;9780679890669;M;Fountas and Pinnell;;
*Dinosaurs Before Dark;Magic Tree House;Osborne, Mary Pope;9780679824114;M;Fountas and Pinnell;;
*Dolphins at Daybreak;Magic Tree House;Osborne, Mary Pope;9780679883388;M;Fountas and Pinnell;;
*Hour of the Olympics;Magic Tree House;Osborne, Mary Pope;9780679890621;M;Fountas and Pinnell;;
*Lions at Lunchtime;Magic Tree House;Osborne, Mary Pope;9780679883401;M;Fountas and Pinnell;;
*Midnight on the Moon;Magic Tree House;Osborne, Mary Pope;9780679863748;M;Fountas and Pinnell;;
*Mummies in the Morning;Magic Tree House;Osborne, Mary Pope;9780679824244;M;Fountas and Pinnell;;
*Night of the Ninjas;Magic Tree House;Osborne, Mary Pope;9780679863717;M;Fountas and Pinnell;;
*Pirates Past Noon;Magic Tree House;Osborne, Mary Pope;9780679824251;M;Fountas and Pinnell;;
*Polar Bears Past Bedtime;Magic Tree House;Osborne, Mary Pope;9780679883418;M;Fountas and Pinnell;;
*Revolutionary War on Wednesday;Magic Tree House;Osborne, Mary Pope;9780679890683;M;Fountas and Pinnell;;
*Sunset of the Sabertooth;Magic Tree House;Osborne, Mary Pope;9780679863731;M;Fountas and Pinnell;;
*Tigers at Twilight;Magic Tree House;Osborne, Mary Pope;9780679890652;M;Fountas and Pinnell;;
*Tonight on the Titanic;Magic Tree House;Osborne, Mary Pope;9780679890638;M;Fountas and Pinnell;;
*Vacation Under the Volcano;Magic Tree House;Osborne, Mary Pope;9780679890508;M;Fountas and Pinnell;;
*Viking Ships at Sunrise;Magic Tree House;Osborne, Mary Pope;9780679890614;M;Fountas and Pinnell;;
Carnival at Candlelight;Magic Tree House;Osborne, Mary Pope;9789862161203;M;Scholastic;;
Christmas in Camelot;Magic Tree House;Osborne, Mary Pope;9780375858123;M;Scholastic;;
Dragon of the Red Dawn;Magic Tree House;Osborne, Mary Pope;9780375837289;M;Scholastic;;
Earthquake in the Early Morning;Magic Tree House;Osborne, Mary Pope;9780679890706;M;Scholastic;;
Ghost Town at Sundown;Magic Tree House;Osborne, Mary Pope;9780679883395;M;Scholastic;;
Good Morning, Gorillas;Magic Tree House;Osborne, Mary Pope;9780375806148;M;Scholastic;;
Haunted Castle on Hallow's Eve;Magic Tree House;Osborne, Mary Pope;9780375860904;M;Scholastic;;
High Tide in Hawaii;Magic Tree House;Osborne, Mary Pope;9780375806162;M;Scholastic;;
Stage Fright on a Summer Night;Magic Tree House;Osborne, Mary Pope;9780375806117;M;Scholastic;;
Thanksgiving on Thursday;Magic Tree House;Osborne, Mary Pope;9780375806155;M;Scholastic;;
Twister on Tuesday;Magic Tree House;Osborne, Mary Pope;9780679890690;M;Scholastic;;
Winter of the Ice Wizard;Magic Tree House;Osborne, Mary Pope;9780375927362;M;Scholastic;;
Amber the Orange Fairy;Rainbow Magic;Meadows, Daisy;9780439744652;M;Scholastic;;
Heather the Violet Fairy;Rainbow Magic;Meadows, Daisy;9780439746861;M;Scholastic;;
Ruby the Red Fairy;Rainbow Magic;Meadows, Daisy;9780439738613;M;Scholastic;;
Sunny the Yellow Fairy;Rainbow Magic;Meadows, Daisy;9780439744669;M;Scholastic;;
India the Moonstone Fairy;Rainbow Magic: The Jewel Fairies;Meadows, Daisy;9780439935289;M;Scholastic;;
Castle Avamir;The Unicorn's Secret;Duey, Kathleen;9780689853722;M;Scholastic;;
Moonsilver;The Unicorn's Secret;Duey, Kathleen;9780689842696;M;Scholastic;;
Moonsilver (Book One);The Unicorn's Secret;Duey, Kathleen;9780689842696;M;Scholastic;;
The Journey Home;The Unicorn's Secret;Duey, Kathleen;9780689853746;M;Scholastic;;
The Mountains of the Moon;The Unicorn's Secret;Duey, Kathleen;9780689842726;M;Scholastic;;
The Silver Bracelet;The Unicorn's Secret;Duey, Kathleen;9780689842719;M;Scholastic;;
The Silver Thread;The Unicorn's Secret;Duey, Kathleen;9780689842702;M;Scholastic;;
The Sunset Gates;The Unicorn's Secret;Duey, Kathleen;9780689853463;M;Scholastic;;
