Title;Series Title;Author;ISBN;Level;Source of Level;Lexile Measure;Source of Lexile
*Over Sea Under Stone;Dark Is Rising Quintet;Cooper, Susan;9780689840357;X;Fountas and Pinnell;NULL;NULL
*The Grey King;Dark Is Rising Quintet;Cooper, Susan;9780689829840;X;Fountas and Pinnell;NULL;NULL
Lionboy: The Chase;Lionboy;Corder, Zizou;9780142404546;X;Scholastic;NULL;NULL
Lionboy: The Truth;Lionboy;Corder, Zizou;9780142407059;X;Scholastic;NULL;NULL
*Saving the World and Other Extreme Sports;Maximum Ride;Patterson, James;9780316154277;X;Fountas and Pinnell;NULL;NULL
*School's Out-- Forever;Maximum Ride;Patterson, James;9780316067966;X;Fountas and Pinnell;NULL;NULL
*The Angel Experiment;Maximum Ride;Patterson, James;9780446617796;X;Fountas and Pinnell;NULL;NULL
The Final Warning;Maximum Ride;Patterson, James;9780316002868;X;Fountas and Pinnell ;NULL;NULL
*Peter And The Starcatchers;Peter and the Starcatchers;Barry, Dave and Ridley Pearson;9780786849079;X;Fountas and Pinnell;NULL;NULL
Peter And The Shadow Thieves;Peter and the Starcatchers;Barry, Dave and Ridley Pearson;9781423108559;X;Scholastic;NULL;NULL
*Dragon's Blood;Pit Dragon Chronicles;Yolen, Jane;9780152051266;X;Fountas and Pinnell;NULL;NULL
*Heart's Blood;Pit Dragon Chronicles;Yolen, Jane;9780152051181;X;Fountas and Pinnell;NULL;NULL
The Burning Bridge;Ranger's Apprentice;Flanagan, John;9780142408421;X;Scholastic;NULL;NULL
High Rhulain;Redwall;Jacques, Brian;9780441014361;X;Scholastic;NULL;NULL
*Queste;Septimus Heap;Sage, Angie;9780060882099;X;Fountas and Pinnell;NULL;NULL
The Everworld Series: Book 11 (Mystify the Magician);The Everworld Series;Applegate, K.A.;9780590879880;X;Scholastic;NULL;NULL
The Looking Glass Wars;The Looking Glass Wars;Beddor, Frank;9780142409411;X;Scholastic;NULL;NULL
*Kingdom Of The Golden Dragon;NULL;Allende, Isabel;9780060589448;X;Fountas and Pinnell;NULL;NULL
*Seaward;NULL;Cooper, Susan;9780020421900;X;Fountas and Pinnell;NULL;NULL
*The Graveyard Book;NULL;Gaiman, Neil;9780061712821;X;Fountas and Pinnell;NULL;NULL
*The Little Prince;NULL;De Saint-Exupery, Antoine;9780156012195;X;Fountas and Pinnell;NULL;NULL
*The Sea Of Trolls;NULL;Farmer, Nancy;9780689867460;X;Fountas and Pinnell;NULL;NULL
Lionboy;NULL;Corder, Zizou;9780142402269;X;Scholastic;NULL;NULL
The Hunting of the Last Dragon;NULL;Jordan, Sherryl;9780064472319;X;Scholastic;NULL;NULL
The Last Of The Really Great Whangdoodles;NULL;Edwards, Julie Andrews;9780064403146;X;Scholastic;NULL;NULL
The Realms Of The Gods;NULL;Pierce, Tamora;9781416908173;X;Scholastic;NULL;NULL
Turnabout;NULL;Haddix, Margaret P.;9780689840371;X;Scholastic;NULL;NULL
Redwall series;Redwall;Jacques, Brian;9780441005482 (Book One);X, Y, Z;Scholastic;NULL;NULL
*The Arctic Incident;Artemis Fowl;Colfer, Eoin;9780786817085;Y;Fountas and Pinnell;NULL;NULL
*Seeing Stone, The;Arthur Trilogy;Crossley-Holland, Kevin;9780439263276;Y;Fountas and Pinnell;NULL;NULL
The Amulet Of Samarkand;Bartimaeus Trilogy;Stroud, Jonathan;9780786852550;Y;Scholastic;NULL;NULL
Eulalia!;Redwall;Jacques, Brian;9780441016235;Y;Scholastic;NULL;NULL
Lord Brocktree;Redwall;Jacques, Brian;9780441008728;Y;Scholastic;NULL;NULL
Rakkety Tam;Redwall;Jacques, Brian;9780441013180;Y;Scholastic;NULL;NULL
*Artemis Fowl;NULL;Colfer, Eoin;9780786817870;Y;Fountas and Pinnell;NULL;NULL
*Here There Be Dragons;NULL;Yolen, Jane;9780152017057;Y;Fountas and Pinnell;NULL;NULL
*The Giver;NULL;Lowry, Lois;9780440237686;Y;Fountas and Pinnell;NULL;NULL
*The Thief Of Always;NULL;Barker, Clive;9780061091469;Y;Fountas and Pinnell;NULL;NULL
*The Timekeeper;NULL;Kidd, Rob;9781423103660;Y;Fountas and Pinnell;NULL;NULL
Arthur Spiderwick's Field Guide To The Fantastical World Around You;NULL;Black, Holly and Tony DiTerlizzi;9780689859410;Y;Scholastic;NULL;NULL
Just Ella;NULL;Haddix, Margaret P.;9780689831287;Y;Fountas and Pinnell;NULL;NULL
The Saint Of Dragons;NULL;Hightman, Jason;9780060540135;Y;Scholastic;NULL;NULL
Victory;NULL;Cooper, Susan;9781416914785;Y;Scholastic;NULL;NULL
Allies Of The Night;Cirque Du Freak;Shan, Darren;9780316114370;Z;Scholastic;NULL;NULL
Hunters Of The Dusk;Cirque Du Freak;Shan, Darren;9780316602112;Z;Scholastic;NULL;NULL
Killers Of The Dawn;Cirque Du Freak;Shan, Darren;9780316106542;Z;Scholastic;NULL;NULL
The Lake Of Souls;Cirque Du Freak;Shan, Darren;9780316016650;Z;Scholastic;NULL;NULL
The Vampire Prince;Cirque Du Freak;Shan, Darren;9780316602747;Z;Scholastic;NULL;NULL
The Vampire's Assistant;Cirque Du Freak;Shan, Darren;9780316606844;Z;Scholastic;NULL;NULL
Trials Of Death;Cirque Du Freak;Shan, Darren;9780316603959;Z;Scholastic;NULL;NULL
Tunnels Of Blood;Cirque Du Freak;Shan, Darren;9780316606080;Z;Scholastic;NULL;NULL
Vampire Mountain;Cirque Du Freak;Shan, Darren;9780316605427;Z;Scholastic;NULL;NULL
*The Amber Spyglass;His Dark Materials;Pullman, Philip;9780440238157;Z;Fountas and Pinnell;NULL;NULL
*The Golden Compass;His Dark Materials;Pullman, Philip;9780440418320;Z;Fountas and Pinnell;NULL;NULL
*The Subtle Knife;His Dark Materials;Pullman, Philip;9780440238140;Z;Fountas and Pinnell;NULL;NULL
Falcondance;Kiesha'ra;Atwater-Rhodes, Amelia;9780440238850;Z;Scholastic;NULL;NULL
Hawksong;Kiesha'ra;Atwater-Rhodes, Amelia;9780440238034;Z;Scholastic;NULL;NULL
*The Hobbit;Lord Of The Rings;Tolkien, J.R.R.;9780345339683;Z;Fountas and Pinnell;NULL;NULL
*Mariel Of Redwall;Redwall;Jacques, Brian;9780441006946;Z;Fountas and Pinnell;NULL;NULL
*Marlfox;Redwall;Jacques, Brian;9780441006939;Z;Fountas and Pinnell;NULL;NULL
*Mattimeo;Redwall;Jacques, Brian;9780441006106;Z;Fountas and Pinnell;NULL;NULL
*Mossflower;Redwall;Jacques, Brian;9780441005765;Z;Fountas and Pinnell;NULL;NULL
*Outcast Of Redwall;Redwall;Jacques, Brian;9780441004164;Z;Fountas and Pinnell;NULL;NULL
*Salamandastron;Redwall;Jacques, Brian;9780441000319;Z;Fountas and Pinnell;NULL;NULL
Loamhedge;Redwall;Jacques, Brian;9780441011902;Z;Scholastic;NULL;NULL
Triss;Redwall;Jacques, Brian;9780441010950;Z;Scholastic;NULL;NULL
*Among The Betrayed;Shadow Children;Haddix, Margaret P.;9780689839092;Z;Fountas and Pinnell;NULL;NULL
*Among The Hidden;Shadow Children;Haddix, Margaret P.;9780689824753;Z;Fountas and Pinnell;NULL;NULL
Among The Barons;Shadow Children;Haddix, Margaret P.;9780689839108;Z;Scholastic;NULL;NULL
Among The Brave;Shadow Children;Haddix, Margaret P.;9780689857959;Z;Scholastic;NULL;NULL
Among The Free;Shadow Children;Haddix, Margaret P.;9780689857997;Z;Scholastic;NULL;NULL
Among The Impostors;Shadow Children;Haddix, Margaret P.;9780689839085;Z;Scholastic;NULL;NULL
*Uglies;Uglies;Westerfeld, Scott;9780689865381;Z;Fountas & Pinnell;NULL;NULL
*Abarat;NULL;Barker, Clive;9780060596378;Z;Fountas and Pinnell;NULL;NULL
*King of Shadows;NULL;Cooper, Susan;9780689844454;Z;Fountas and Pinnell;NULL;NULL
*Great and Terrible Beauty;Gemma Doyle Trilogy;Bray, Libba;9780385732314;Z+;Fountas and Pinnell;NULL;NULL
*The Thirteenth Skull;Alfred Kropp Series;Yancey, Rick;9781599903637;Z+;Fountas and Pinnell;NULL;NULL
*The Seal of Solomon;Alred Kropp Series;Yancey, Rick;9780747589334;Z+;Fountas and Pinnell;NULL;NULL
*Blood Captain;Vampirates;Somper, Justin;9780316020862;Z+;Fountas & Pinnell;NULL;NULL
*Demons Of The Ocean;Vampirates;Somper, Justin;9780316014441;Z+;Fountas and Pinnell;NULL;NULL
*Tide Of Terror;Vampirates;Somper, Justin;9780316014458;Z+;Fountas and Pinnell;NULL;NULL
Monster Blood For Breakfast!;Goosebumps HorrorLand;Stine, R.L.;9780439918718;NULL;NULL;390;Lexile.com
Say Cheese - And Die Screaming!;Goosebumps HorrorLand;Stine, R.L.;9780439918763;NULL;NULL;390;Lexile.com
The Scream Of The Haunted Mask;Goosebumps HorrorLand;Stine, R.L.;9780439918725;NULL;NULL;400;Lexile.com
Dr. Maniac Vs. Robby Schwartz;Goosebumps HorrorLand;Stine, R.L.;9780439918732;NULL;NULL;410;Lexile.com
My Friends Call Me Monster;Goosebumps HorrorLand;Stine, R.L.;9780439918756;NULL;NULL;410;Lexile.com
Who's Your Mummy?;Goosebumps HorrorLand;Stine, R.L.;9780439918749;NULL;NULL;410;Scholastic
Creep From The Deep;Goosebumps HorrorLand;Stine, R.L.;9780439918701;NULL;NULL;430;Lexile.com
The Magic Paintbrush;NULL;Yep, Laurence;9780064408523;NULL;NULL;440;Lexile.com
Revenge Of The Living Dummy;Goosebumps HorrorLand;Stine, R.L.;9780439918695;NULL;NULL;450;Scholastic
The New Step-Mummy;Meet the Kreeps;Thorpe, Kiki;9780545065627;NULL;NULL;480;Lexile.com
There Goes The Neighborhood;Meet the Kreeps;Thorpe, Kiki;9780545065597;NULL;NULL;480;Lexile.com
A Good Night for Ghosts;Magic Tree House;Osborne, Mary Pope;9780375856488 (Hardcover);NULL;NULL;490;Lexile.com
Skellig;NULL;Almond, David;9780440416029;NULL;NULL;490;Scholastic
Moonlight on the Magic Flute;Magic Tree House;Osborne, Mary Pope;9780375856471;NULL;NULL;500;Lexile.com
Dark Day in the Deep Sea;Magic Tree House;Osborne, Mary Pope;9780375837326;NULL;NULL;520;Lexile.com
The Nanny Nightmare;Meet the Kreeps;Thorpe, Kiki;9780545065603;NULL;NULL;520;Lexile.com
Eve of the Emperor Penguin;Magic Tree House;Osborne, Mary Pope;9780375837340;NULL;NULL;530;Lexile.com
The Mad Scientists;Meet the Kreeps;Thorpe, Kiki;9780545065610;NULL;NULL;530;Lexile.com
The Sweetest Fig;NULL;Van Allsburg, Chris;9780862644987;NULL;NULL;530; Scholastic
The Substitute Teacher from the Black Lagoon;Black Lagoon;Thaler, Mark;9780545077842;NULL;NULL;540;Lexile.com
Beyond The Grave;The 39 Clues;Watson, Jude;9780545090612;NULL;NULL;550;Scholastic
In Too Deep;The 39 Clues;Watson, Jude;9780545090643;NULL;NULL;550;Scholastic
Sky the Blue Fairy;Rainbow Magic;Meadows, Daisy;9780439746847;NULL;NULL;560;Lexile.com
Baaa;NULL;MacAulay, David;9780395395882;NULL;NULL;560;Lexile.com
Hunger;Gone Series;Grant, Michael;9780061449062;NULL;NULL;570;Lexile.com
Fern the Green Fairy;Rainbow Magic;Meadows, Daisy;9780439744676;NULL;NULL;570;Lexile.com
The Never War;Pendragon;MacHale, D.J.;9780743437332;NULL;NULL;580;Lexile.com
The Reality Bug;Pendragon;MacHale, D.J.;9780743437349;NULL;NULL;580;Lexile.com
The Soldiers Of Halla;Pendragon;MacHale, D.J.;9781416914204;NULL;NULL;580;Lexile.com
Inky the Indigo Fairy;Rainbow Magic;Meadows, Daisy;9780439746854;NULL;NULL;580;Lexile.com
Monday with a Mad Genius;Magic Tree House;Osborne, Mary Pope;9780375837302;NULL;NULL;590;Lexile.com
Raven Rise;Pendragon;MacHale, D.J.;9781416914198;NULL;NULL;590;Lexile.com
The Battle Of The Labyrinth;Percy Jackson & The Olympians;Riordan, Rick;9781423101499;NULL;NULL;590;Scholastic
Incarceron;NULL;Fisher, Catherine;9780803733961;NULL;NULL;600;Lexile.com
The Secrets Of Grim Wood;Lowthar's Blade;La Fevers, R.L.;9780142405581;NULL;NULL;610;Lexile.com
Shut Your Mouth;Midnight Library;Graves, Damien;9780439893930;NULL;NULL;610;Lexile.com
The Door to Time;Ulysses Moore;Baccalario, Pierdomenico;9780439930208;NULL;NULL;610;Lexile.com
Jim and Me;Baseball Card Adventures;Gutman, Dan;9780060594961;NULL;NULL;620;Lexile.com
Tagus The Night Horse;Beast Quest;Blade, Adam;9780439024563;NULL;NULL;620;Scholastic
Gone;Gone Series;Grant, Michael;9780061448782;NULL;NULL;620;Lexile.com
Pilgrims Of Rayne;Pendragon;MacHale, D.J.;9781416914174;NULL;NULL;620;Lexile.com
The Last Olympian;Percy Jackson & The Olympians;Riordan, Rick;9781423101475;NULL;NULL;620;Scholastic
Isle of Masks;Ulysses Moore;Bruno, Iacopo;9780439776714;NULL;NULL;620;Lexile.com
The House of Mirrors;Ulysses Moore;Moore, Ulysses;9780439776721;NULL;NULL;620;Lexile.com
The Long-Lost Map;Ulysses Moore;Baccalario, Pierdomenico;9780439776738;NULL;NULL;630;Lexile.com
Sepron The Sea Serpent;Beast Quest;Blade, Adam;9780439906548;NULL;NULL;640;Scholastic
The Sweet Far Thing;Gemma Doyle Trilogy;Bray, Libba;9789449237778;NULL;NULL;640;Lexile.com
The Kingdom Keepers series;The Kingdom Keepers;Pearson, Ridley;9781423123118 (Book One);NULL;NULL;640;Lexile.com
The Cat Lady;Midnight Library;Graves, Damien;9780439893916;NULL;NULL;650;Lexile.com
The Lost City Of Faar;Pendragon;MacHale, D.J.;9780743437325;NULL;NULL;650;Lexile.com
11 Birthdays;NULL;Mass, Wendy;9780545052405;NULL;NULL;650;Scholastic
Cypher The Mountain Giant;Beast Quest;Blade, Adam;9780439922258;NULL;NULL;660;Scholastic
Oath Breaker;Chronicles Of Ancient Darkness;Paver, Michelle;9780060728397;NULL;NULL;660;Lexile.com
Outcast;Chronicles Of Ancient Darkness;Paver, Michelle;9781842551158;NULL;NULL;660;Lexile .com
Wolf Brother;Chronicles Of Ancient Darkness;Paver, Michelle;9780060728274;NULL;NULL;660;Lexile.com
Leven Thumps And The Wrath Of Ezra;Leven Thumps;Skye, Obert;9781416990925;NULL;NULL;660;Lexile.com
The Merchant Of Death;Pendragon;MacHale, D.J.;9780743437318;NULL;NULL;660;Lexile.com
The Quillan Games;Pendragon;MacHale, D.J.;9780689869136;NULL;NULL;660;Lexile.com
The Sword Thief;The 39 Clues;Lerangis, Peter;9780545090599;NULL;NULL;660;Scholastic
The Deadly Catch;Midnight Library;Graves, Damien;9780439893954;NULL;NULL;670;Lexile.com
Demon Thief;The Demonata;Shan, Darren;9780316012386;NULL;NULL;670;Lexile.com
Slawter;The Demonata;Shan, Darren;9780316013888;NULL;NULL;670;
Rebel Angels;Gemma Doyle Trilogy;Bray, Libba;9780385733410;NULL;NULL;680;Lexile.com
The Fire Eternal;Last Dragon Chronicles;D'Lacey, Chris;9780545051644;NULL;NULL;680;Lexile.com
One False Note;The 39 Clues;Korman, Gordon;9780545090605;NULL;NULL;680;Scholastic
Soul Eater;Chronicles Of Ancient Darkness;Paver, Michelle;9780060728335;NULL;NULL;690;Lexile.com
Demon Apocalypse;The Demonata;Shan, Darren;9780316003803;NULL;NULL;690;Lexile.com
Lord Loss;The Demonata;Shan, Darren;9780316012331;NULL;NULL;690;Lexile.com
Zepha The Monster Squid;NULL;Blade, Adam;9780545068635;NULL;NULL;690;Scholastic
Playing With Fire;Skulduggery Pleasant;Landy, Derek;9780061240904;NULL;NULL;700;Lexile.com
The Black Circle;The 39 Clues;Carman, Patrick;9780545060455;NULL;NULL;700;Scholastic
Dragons of Wayward Crescent series, 1-4;NULL;D'Lacey, Chris;9780545168311;NULL;NULL;700;Lexile.com
Jennifer Murdley's Toad;NULL;Coville, Bruce;9780152062460;NULL;NULL;700;Scholastic
Tartok The Ice Beast;Beast Quest;Blade, Adam;9780439024570;NULL;NULL;710;Scholastic
Spirit Walker;Chronicles Of Ancient Darkness;Paver, Michelle;9780060728281;NULL;NULL;710;Lexile.com
Ferno The Fire Dragon;Beast Quest;Blade, Adam;9780439906517;NULL;NULL;720;Scholastic
Secrets Of The Dragon Sanctuary;Fablehaven;Mull, Brandon;9781416990284;NULL;NULL;720;Lexile.com
City of Ashes;Mortal Instruments Trilogy;Clare, Cassandra;9781416972242;NULL;NULL;720;Lexile.com
Beyond the Deepwoods;The Edge Chronicles;Stewart, Paul;9780440420873;NULL;NULL;720;Lexile.com
Epos The Winged Flame;Beast Quest;Blade, Adam;9780439024587;NULL;NULL;730;Scholastic
Briar's Book;Circle Of Magic;Pierce, Tamora;9780590554114;NULL;NULL;730;Lexile.com
Sandry's Book;Circle Of Magic;Pierce, Tamora;9780590554084;NULL;NULL;730;Lexile.com
Fablehaven;Fablehaven;Mull, Brandon;9781416947202;NULL;NULL;730;Lexile.com
Rise Of The Evening Star;Fablehaven;Mull, Brandon;9781416957706;NULL;NULL;730;Scholastic
End Game;Midnight Library;Graves, Damien;9780439871884;NULL;NULL;730;Lexile.com
The Sunlight Slayings;Oliver Nocturne;Emerson, Kevin;9780545058025;NULL;NULL;730;Scholastic
Sent;The Missing;Haddix, Margaret Peterson;9781416954224;NULL;NULL;730;Scholastic
The Knaveheart's Curse;Vampire Island;Griffin, Adele;9780142414071;NULL;NULL;730;Scholastic
Graceling;NULL;Cashore, Kristin;9780547258300;NULL;NULL;730;Scholastic
I Can See You;Midnight Library;Graves, Damien;9780439893947;NULL;NULL;740;Lexile.com
Wolf Island;The Demonata;Shan, Darren;9780316048903;NULL;NULL;740;Lexile.com
Medusa Jones;NULL;Collins, Ross;9780439901000;NULL;NULL;740;Lexile.com
Blood And Sand;Midnight Library;Graves, Damien;9780439871877;NULL;NULL;750;Lexile.com
Voices;Midnight Library;Graves, Damien;9780439863568;NULL;NULL;750;Lexile.com
Bec;The Demonata;Shan, Darren;9780316013901;NULL;NULL;750;Lexile.com
Found;The Missing;Haddix, Margaret P.;9781416954217;NULL;NULL;750;Scholastic
Leven Thumps And The Eyes Of The Want;Leven Thumps;Skye, Obert;9781416947196;NULL;NULL;760;Lexile.com
City of Glass;Mortal Instruments Trilogy;Clare, Cassandra;9781416914303;NULL;NULL;760;Lexile.com
Monster Madness;Nightmare Academy;Lorey, Dean;9780061340475;NULL;NULL;760;Lexile.com
Skulduggery Pleasant;Skullduggery Pleasant;Landy, Derek;9780061231179;NULL;NULL;760;Scholastic
Demonkeeper;NULL;Buckingham, Royce;9780142411667;NULL;NULL;760;Lexile.com
First Light;NULL;Stead, Rebecca;9780440422228;NULL;NULL;760;Lexile.com
The Night Tourist;NULL;Marsh, Katherine;9781423106906;NULL;NULL;760;Scholastic
Taggerung;Redwall;Jacques, Brian;9780441009688;NULL;NULL;770;Lexile.com
Death's Shadow;The Demonata;Shan, Darren;9780316003827;NULL;NULL;770;Lexile.com
Heroes of the Valley;NULL;Stroud, Jonathan;9781423109679;NULL;NULL;770;Lexile.com
The Maze Runner;NULL;Dashner, James;9780385737944;NULL;NULL;770;Lexile.com
Eighth Grade Bites;Chronicles of Vladimir Tod;Brewer, Heather;9780142411872;NULL;NULL;780;Lexile.com
Ninth Grade Slays;Chronicles of Vladimir Tod;Brewer, Heather;9780142413425;NULL;NULL;780;Lexile.com
The Vampire's Photograph;Oliver Nocturne;Emerson, Kevin;9780545058018;NULL;NULL;780;Scholastic
Grip Of The Shadow Plague;Fablehaven;Mull, Brandon;9781416986034;NULL;NULL;790;Lexile.com
Keys to the Demon Prison;Fablehaven;Mull, Brandon;9781606412381;NULL;NULL;790;Scholastic
Wrath Of The Bloodeye;Last Apprentice;Delaney, Joseph;9780061344619;NULL;NULL;790;Lexile.com
Leviathan;NULL;Westerfeld, Scott;9781416971740;NULL;NULL;790;Scholastic
Forest Born;The Books of Bayern Series;Hale, Shannon;9781599901671;NULL;NULL;800;Lexile.com
Vampire Island;NULL;Griffin, Adele;9780142411827;NULL;NULL;800;Scholastic
Night Of The Soul Stealer;Last Apprentice;Delaney, Joseph;9780060766269;NULL;NULL;810;Scholastic
The Two Towers;Lord Of The Rings;Tolkien, J.R.R.;9780345339713;NULL;NULL;810;Scholastic
The Hunger Games;The Hunger Games Trilogy;Collins, Suzanne;9780439023481;NULL;NULL;810;Scholastic
The Song Of The Wanderer;NULL;Coville, Bruce;9780545068253;NULL;NULL;810;Scholastic
Tenth Grade Bleeds;Chronicles of Vladimir Tod;Brewer, Heather;9780142415603;NULL;NULL;820;Lexile.com
Catching Fire;The Hunger Games Trilogy;Collins, Suzanne;9780439023498;NULL;NULL;820;Scholastic
Palace Of Mirrors;NULL;Haddix, Margaret Peterson;9781420000000;NULL;NULL;820;Lexile.com
Inkdeath;Inkheart Trilogy;Funke, Cornelia;978-1905294848;NULL;NULL;830;Lexile.com
Dark Whispers;NULL;Coville, Bruce;9780590459525;NULL;NULL;830;Lexile.com
The Book Of Time;NULL;Provost, Guillaume;9780439883795;NULL;NULL;830;Scholastic
The Silver Chair;The Chronicles Of Narnia;Lewis, C.S.;9780064471091;NULL;NULL;840;Lexile.com
The Magician: The Secrets Of The Immortal Nicholas Flamel;NULL;Scott, Michael;9780385737289;NULL;NULL;840;Scholastic
The Unicorn Chronicles series;NULL;Coville, Bruce;9780760764817;NULL;NULL;840;Scholastic
Under Town;Edgar & Ellen;Ogden, Charles;9781416914129;NULL;NULL;850;Lexile.com
The Sorcerer Of The North;Ranger's Apprentice;Flanagan, John;9780142414293;NULL;NULL;850;Lexile.com
Into The Land Of The Unicorns;NULL;Coville, Bruce;9780545068246;NULL;NULL;850;Scholastic
Heck: Where the Bad Kids Go;Circles of Heck;Basye, Dale E.;9780375840760;NULL;NULL;860;Lexile.com
The Fellowship Of The Ring;Lord of the Rings Trilogy;Tolkien, J.R.R.;9780345339706;NULL;NULL;860;Lexile.com
Pretties;Uglies;Westerfeld, Scott;9780689865398;NULL;NULL;860;Scholastic
Everwild;Skinjaker Trilogy;Shusterman, Neal;9781416958635;NULL;NULL;870;Lexile.com
Fire;NULL;Cashore, Kristin;9780803734616;NULL;NULL;870;Lexile.com
A Sending Of Dragons;Pit Dragon Chronicles;Yolen, Jane;9780152051280;NULL;NULL;880;Scholastic
The Legend Of Luke;Redwall;Jacques, Brian;9780441007738;NULL;NULL;880;Lexile.com
 The Specials;The Uglies ;Westerfeld, Scott;9781416947950;NULL;NULL;880;Scholastic
Specials;Uglies;Westerfeld, Scott;9781416947950;NULL;NULL;880;Lexile.com
Martin The Warrior;Redwall;Jacques, Brian;9780441001866;NULL;NULL;890;Lexile.com
The Alchemyst: The Secrets Of The Immortal Nicholas Flamel;NULL;Scott, Michael;9780385736008;NULL;NULL;890;Scholastic
The Bellmaker;Redwall;Jacques, Brian;9780441003150;NULL;NULL;900;Lexile.com
Igraine The Brave;NULL;Funke, Cornelia;9780439903790;NULL;NULL;900;Scholastic
The Mysterious Benedict Society And The Prisoner's Dilemma;NULL;Stewart, Trenton Lee;9780316045520 (Hardcover);NULL;NULL;900;Scholastic
Return Of The King;Lord Of The Rings;Tolkien, J.R.R.;9780345339737;NULL;NULL;920;Scholastic
The Battle For Skandia;Ranger's Apprentice;Flanagan, John;9780142413401;NULL;NULL;920;Lexile.com
Evermore;Immortal Series;Noel, Allison;9780312532758;NULL;NULL;940;Scholastic
The Time Quake;The Gideon Trilogy;Buckley-Archer, Linda;9781416915294;NULL;NULL;940;Lexile.com
The Icebound Land;Ranger's Apprentice;Flanagan, John;9780142410752;NULL;NULL;950;Lexile.com
The Gammage Cup;NULL;Kendall, Carol;0152024875;NULL;NULL;950;Lexile.com
The Voyage Of The Dawn Treader;The Chronicles Of Narnia;Lewis, C.S.;9780064471077;NULL;NULL;970;Lexile.com
Pearls Of Lutra;Redwall;Jacques, Brian;9780441005086;NULL;NULL;980;Lexile.com
The Long Patrol;Redwall;Jacques, Brian;9780441005994;NULL;NULL;980;Lexile.com
The Time Thief;The Gideon Trilogy;Buckley-Archer, Linda;9781416915287;NULL;NULL;980;Lexile.com
Lips Touch Three Times;NULL;Taylor, Laini;9780545055857;NULL;NULL;990;Lexile.com
Monstrumologist;NULL;Yancey, Rick;9781416984498;NULL;NULL;990;Scholastic
Blue Moon;Immortals Series;Noel, Alyson;9780312532765;NULL;NULL;1050;Scholastic
Brisingr;Inheritance;Paolini, Christopher;9780375826740;NULL;NULL;1050;Scholastic
Ash;NULL;Lo, Malinda;9780316040099;NULL;NULL;1050;Lexile.com
Rare Beasts;Edgar & Ellen;Ogden, Charles;9781416914099;NULL;NULL;1070;Lexile.com
Clash of the Sky Galleons;The Edge Chronicles;Stewart, Paul;9780385736138;NULL;NULL;1070;Lexile.com
Seeing Redd;The Looking Glass Wars;Beddor, Frank;9780142412091;NULL;NULL;1080;Scholastic
The Inheritance;NULL;Alcott, Louisa May;9780140436662;NULL;NULL;1240;Scholastic
Queen of the World: Babymouse;Babymouse;Holm, Jennifer;9780756983321;Unleveled;NULL;NULL;NULL
Arachnid The Spider King;Beast Quest;Blade, Adam;9780545132657;Unleveled;NULL;NULL;NULL
Claw: The Giant Ape;Beast Quest;Blade, Adam;9780545068642;Unleveled;NULL;NULL;NULL
Soltra: The Stone Charmer;Beast Quest;Blade, Adam;9780545068659;Unleveled;NULL;NULL;NULL
The Dark Realm: Narga The Sea Monster;Beast Quest;Blade, Adam;9780545200332;Unleveled;NULL;NULL;NULL
Torgor the Minotaur;Beast Quest;Blade, Adam;9780545200318;Unleveled;NULL;NULL;NULL
Trillion:The Three-Headed Lion;Beast Quest;Blade, Adam;9780545132664;Unleveled;NULL;NULL;NULL
Vipero The Snake Man;Beast Quest;Blade, Adam;9780545068666;Unleveled;NULL;NULL;NULL
Blue Is For Nightmares;Blue Is For Nightmares;Stolarz, Laurie Faria;9780738703916;Unleveled;NULL;NULL;NULL
Red Is For Remembrance;Blue Is For Nightmares;Stolarz, Laurie Faria;9780738707600;Unleveled;NULL;NULL;NULL
Silver Is For Secrets;Blue Is For Nightmares;Stolarz, Laurie Faria;9780738706313;Unleveled;NULL;NULL;NULL
White Is For Magic;Blue Is For Nightmares;Stolarz, Laurie Faria;9780738704432;Unleveled;NULL;NULL;NULL
Eleventh Grade Burns;Chronicles of Vladimir Tod;Brewer, Heather;9780142416471;Unleveled;NULL;NULL;NULL
A Living Nightmare;Cirque Du Freak;Shan, Darren;9780316605106;Unleveled;NULL;NULL;NULL
Frost Bites;Edgar & Ellen;Ogden, Charles;9781416954644;Unleveled;NULL;NULL;NULL
High Wire;Edgar & Ellen;Ogden, Charles;9781416915003;Unleveled;NULL;NULL;NULL
Hot Air;Edgar & Ellen;Ogden, Charles;9781416954651;Unleveled;NULL;NULL;NULL
Nod's Limbs;Edgar & Ellen;Ogden, Charles;9781416915010;Unleveled;NULL;NULL;NULL
Pet's Revenge;Edgar & Ellen;Ogden, Charles;9781416914082;Unleveled;NULL;NULL;NULL
Tourist Trap;Edgar & Ellen;Ogden, Charles;9781416914112;Unleveled;NULL;NULL;NULL
The Dead-Tossed Waves;Forest of Hands and Teeth;Ryan, Carrie;9780385736848;Unleveled;NULL;NULL;NULL
Lies;Gone Series;Grant, Michael;9780061449093;Unleveled;NULL;NULL;NULL
Escape From Horrorland;Goosebumps HorrorLand;Stine, R. L.;9780439918794;Unleveled;NULL;NULL;NULL
Help! We Have Strange Powers!;Goosebumps HorrorLand;Stine, R. L.;9780439918787;Unleveled;NULL;NULL;NULL
Little Shop Of Hamsters;Goosebumps HorrorLand;Stine, R. L.;9780545161954;Unleveled;NULL;NULL;NULL
Streets Of Panic Park;Goosebumps HorrorLand;Stine, R.L.;9780439918800;Unleveled;NULL;NULL;NULL
